Jahr	<=10	>10-40	>40-500	Nicht_Wohngebaeude_Aussenbereich	Anlagen_Freiflaechen_Autobahnen_Schienenwege_Konversionsflaechen_bis_500		
1.8.2014	12,75	12,4	11,09	8,83	8,83		
01.09.14	12,69	12,34	11,03	8,79	8,79		
01.10.14	12,65	12,31	11,01	8,76	8,76		
01.11.14	12,62	12,28	10,98	8,74	8,74		
01.12.14	12,59	12,25	10,95	8,72	8,72		
01.01.15	12,56	12,22	10,92	8,7	8,7		
01.02.15	12,53	12,18	10,9	8,68	8,68		
01.03.15	12,5	12,15	10,87	8,65	8,65		
01.04.15	12,47	12,12	10,84	8,63	8,63		
01.05.15	12,43	12,09	10,82	8,61	8,61		
01.06.15	12,4	12,06	10,79	8,59	8,59		
01.07.15	12,37	12,03	10,76	8,57	8,57		
01.08.15	12,34	12	10,73	8,55	8,55		
01.09.15	12,31	11,97	10,71	8,53	0		
01.10.15	12,31	11,97	10,71	8,53	0		
01.11.15	12,31	11,97	10,71	8,53	0		
01.12.15	12,31	11,97	10,71	8,53	0		
01.12.15	12,31	11,97	10,71	8,53	0		
01.01.16	12,31	11,97	10,71	8,53	0		
01.02.16	12,31	11,97	10,71	8,53	0		
01.03.16	12,31	11,97	10,71	8,53	0		
01.04.16	12,31	11,97	10,71	8,53	0		
01.05.16	12,31	11,97	10,71	8,53	0		
01.06.16	12,31	11,97	10,71	8,53	0		
01.07.16	12,31	11,97	10,71	8,53	0		
01.08.16	12,31	11,97	10,71	8,53	0		
01.09.16	12,31	11,97	10,71	8,53	0		
01.10.16	12,31	11,97	10,71	8,53	0		
01.11.16	12,31	11,97	10,71	8,53	0		
01.12.16	12,31	11,97	10,71	8,53	0		9 groesser 100KW ab 1.1.2016 DV
