Jahr	<=10	>10-40	>40-1000	>1000-10000	Nicht_Wohngebaeude_Aussenbereich	Gewerbeflaechen_Aautobahnen_Schienenwege_Konversionsflaechen
01.04.2012	19.5	18.5	16.5	13.5	13.5	13.5
01.05.2012	19.31	18.32	16.34	13.37	13.37	13.37
01.06.2012	19.11	18.13	16.17	13.23	13.23	13.23
01.07.2012	18.92	17.95	16.01	13.1	13.1	13.1
01.08.2012	18.73	17.77	15.85	12.97	12.97	12.97
01.09.2012	18.54	17.59	15.69	12.84	12.84	12.84
01.10.2012	18.36	17.42	15.53	12.71	12.71	12.71
01.11.2012	17.9	16.98	15.15	12.39	12.39	12.39
01.12.2012	17.45	16.56	14.77	12.08	12.08	12.08
01.01.2013	17.02	16.14	14.4	11.78	11.78	11.78
01.02.2013	16.64	15.79	14.08	11.52	11.52	11.52
01.03.2013	16.28	15.44	13.77	11.27	11.27	11.27
01.04.2013	15.92	15.1	13.47	11.02	11.02	11.02
01.05.2013	15.63	14.83	13.23	10.82	10.82	10.82
01.06.2013	15.35	14.56	12.99	10.63	10.63	10.63
01.07.2013	15.07	14.3	12.75	10.44	10.44	10.44
01.08.2013	14.8	14.04	12.52	10.25	10.25	10.25
01.09.2013	14.54	13.79	12.3	10.06	10.06	10.06
01.10.2013	14.27	13.54	12.08	9.88	9.88	9.88
01.11.2013	14.07	13.35	11.91	9.74	9.74	9.74
01.12.2013	13.88	13.17	11.74	9.61	9.61	9.61
01.01.2014	13.68	12.98	11.58	9.47	9.47	9.47
01.02.2014	13.55	12.85	11.46	9.38	9.38	9.38
01.03.2014	13.41	12.72	11.35	9.28	9.28	9.28
01.04.2014	13.28	12.6	11.23	9.19	9.19	9.19
01.05.2014	13.14	12.47	11.12	9.1	9.1	9.1
01.06.2014	13.01	12.34	11.01	9.01	9.01	9.01
01.07.2014	12.88	12.22	10.9	8.92	8.92	8.92
