Jahr	<=10	>10-40	>40-500	Nicht_Wohngebaeude_Aussenbereich	Anlagen_Freiflaechen_Autobahnen_Schienenwege_Konversionsflaechen_bis_500		
01.08.2014	12.75	12.4	11.09	8.83	8.83
01.09.2014	12.69	12.34	11.03	8.79	8.79
01.10.2014	12.65	12.31	11.01	8.76	8.76
01.11.2014	12.62	12.28	10.98	8.74	8.74
01.12.2014	12.59	12.25	10.95	8.72	8.72
01.01.2015	12.56	12.22	10.92	8.7	8.7
01.02.2015	12.53	12.18	10.9	8.68	8.68
01.03.2015	12.5	12.15	10.87	8.65	8.65
01.04.2015	12.47	12.12	10.84	8.63	8.63
01.05.2015	12.43	12.09	10.82	8.61	8.61
01.06.2015	12.4	12.06	10.79	8.59	8.59
01.07.2015	12.37	12.03	10.76	8.57	8.57
01.08.2015	12.34	12	10.73	8.55	8.55
01.09.2015	12.31	11.97	10.71	8.53	0
01.10.2015	12.31	11.97	10.71	8.53	0
01.11.2015	12.31	11.97	10.71	8.53	0
01.12.2015	12.31	11.97	10.71	8.53	0
01.12.2015	12.31	11.97	10.71	8.53	0
01.01.2016	12.31	11.97	10.71	8.53	0
01.02.2016	12.31	11.97	10.71	8.53	0
01.03.2016	12.31	11.97	10.71	8.53	0
01.04.2016	12.31	11.97	10.71	8.53	0
01.05.2016	12.31	11.97	10.71	8.53	0
01.06.2016	12.31	11.97	10.71	8.53	0
01.07.2016	12.31	11.97	10.71	8.53	0
01.08.2016	12.31	11.97	10.71	8.53	0
01.09.2016	12.31	11.97	10.71	8.53	0
01.10.2016	12.31	11.97	10.71	8.53	0
01.11.2016	12.31	11.97	10.71	8.53	0
01.12.2016	12.31	11.97	10.71	8.53	0
