Jahr	<=10	>10-40	>40-100	Nicht_Wohngebaeude_Aussenbereich
01.01.2017	12.3	11.96	10.69	8.51
01.02.2017	12.3	11.96	10.69	8.51
01.03.2017	12.3	11.96	10.69	8.51
01.04.2017	12.3	11.96	10.69	8.51
01.05.2017	12.27	11.93	10.66	8.49
01.06.2017	12.24	11.9	10.63	8.47
01.07.2017	12.2	11.87	10.61	8.44
01.08.2017	12.2	11.87	10.61	8.44
01.09.2017	12.2	11.87	10.61	8.44
01.10.2017	12.2	11.87	10.61	8.44
01.11.2017	12.2	11.87	10.61	8.44
01.12.2017	12.2	11.87	10.61	8.44
01.01.2018	12.2	11.87	10.61	8.44
01.02.2018	12.2	11.87	10.61	8.44
01.03.2018	12.2	11.87	10.61	8.44
01.04.2018	12.2	11.87	10.61	8.44
01.05.2018	12.2	11.87	10.61	8.44
01.06.2018	12.2	11.87	10.61	8.44
01.07.2018	12.2	11.87	10.61	8.44
01.08.2018	12.08	11.74	10.5	8.35
01.09.2018	11.95	11.62	10.39	8.27
01.10.2018	11.83	11.5	10.28	8.18
01.11.2018	11.71	11.38	10.17	8.09
01.12.2018	11.59	11.27	10.07	8.01
01.01.2019	11.47	11.15	9.96	7.93
01.02.2019	11.35	11.03	9.47	7.84
01.03.2019	11.23	10.92	8.99	7.76
01.04.2019	11.11	10.81	8.5	7.68
01.05.2019	10.95	10.65	8.38	7.57
01.06.2019	10.79	10.5	8.25	7.45
01.07.2019	10.64	10.34	8.13	7.34
01.08.2019	10.48	10.19	8.01	7.24
01.09.2019	10.33	10.04	7.89	7.13
01.10.2019	10.18	9.9	7.78	7.02
01.11.2019	10.08	9.79	7.7	6.95
01.12.2019	9.97	9.69	7.62	6.88
01.01.2020	9.87	9.59	7.54	6.8
01.02.2020	9.72	9.45	7.42	6.7
01.03.2020	9.58	9.31	7.31	6.6
01.04.2020	9.44	9.18	7.21	6.5
01.05.2020	9.3	9.04	7.1	6.41
01.06.2020	9.17	8.91	7	6.31
01.07.2020	9.03	8.78	6.89	6.22
01.08.2020	8.9	8.65	6.79	6.13
01.09.2020	8.77	8.53	6.69	6.03
01.10.2020	8.64	8.4	6.59	5.94
01.11.2020	8.48	8.24	6.46	5.83
01.12.2020	8.32	8.09	6.34	5.72
01.01.2021	8.16	7.93	6.22	5.61
01.02.2021	8.04	7.81	6.13	5.53
01.03.2021	7.92	7.70	6.04	5.44
01.04.2021	7.81	7.59	5.95	5.36
